count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
10,10.0,10.0,2025/3/12,1462.488508,1173.488509,1741742291,4.0,1.0,pos1,Right,GXAスカイホークス,4,スタンリー,Right,TOK,1,Top,0,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,128.0,0.998,0.152,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",横井,岡林,,Nothing,,,,,,2507020010,空振り,,1460.0,https://youtu.be/Jyu6IJPUpVs&t=1460,178.0,https://youtu.be/aTQ94zDNQF8&t=178,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,,
11,11.0,11.0,2025/3/12,1480.103152,1191.103153,1741742308,4.0,2.0,pos1,Right,GXAスカイホークス,4,スタンリー,Right,TOK,1,Top,0,0,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,129.0,0.87,0.204,14.92811909,-127.7756843,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",横井,岡林,,Undefined,,,,,,2507020011,ファール,,1478.0,https://youtu.be/Jyu6IJPUpVs&t=1478,196.0,https://youtu.be/aTQ94zDNQF8&t=196,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,,
12,12.0,12.0,2025/3/12,1503.573287,1214.573288,1741742332,4.0,3.0,pos1,Right,GXAスカイホークス,4,スタンリー,Right,TOK,1,Top,0,0,2,Slider,InPlay,Undefined,FlyBall,Single,0,0,,114.0,0.57,-0.208,72.50219,-12.45295279,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2",横井,岡林,,Undefined,,,,8,8,2507020012,中安,,1501.0,https://youtu.be/Jyu6IJPUpVs&t=1501,219.0,https://youtu.be/aTQ94zDNQF8&t=219,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,,
13,13.0,13.0,2025/3/12,1547.964434,1258.964435,1741742376,5.0,1.0,pos1,Right,GXAスカイホークス,5,深見,Left,TOK,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.582,0.232,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",スタンリー,横井,岡林,Nothing,,,,,,2507020013,見逃し,,1545.0,https://youtu.be/Jyu6IJPUpVs&t=1545,252.0,https://youtu.be/aTQ94zDNQF8&t=252,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuto, Fukami","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,
14,14.0,14.0,2025/3/12,1563.570931,1274.570932,1741742392,5.0,2.0,pos1,Right,GXAスカイホークス,5,深見,Left,TOK,1,Top,0,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.59,0.152,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",スタンリー,横井,岡林,Nothing,,,,,,2507020014,空振り,,1561.0,https://youtu.be/Jyu6IJPUpVs&t=1561,268.0,https://youtu.be/aTQ94zDNQF8&t=268,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuto, Fukami","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,
15,15.0,15.0,2025/3/12,1584.797748,1295.797748,1741742413,5.0,3.0,pos1,Right,GXAスカイホークス,5,深見,Left,TOK,1,Top,0,0,2,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,0.606,0.232,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",スタンリー,横井,岡林,Nothing,,,,,,2507020015,見三振,,1582.0,https://youtu.be/Jyu6IJPUpVs&t=1582,289.0,https://youtu.be/aTQ94zDNQF8&t=289,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuto, Fukami","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,
16,16.0,16.0,2025/3/12,1612.189024,1323.189024,1741742440,6.0,1.0,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,1,Top,1,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,127.0,0.602,0.184,20.42227012,100.8230112,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",スタンリー,横井,岡林,Undefined,,,,,,2507020016,ファール,,1610.0,https://youtu.be/Jyu6IJPUpVs&t=1610,317.0,https://youtu.be/aTQ94zDNQF8&t=317,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,,,,,,,,,,,
17,17.0,17.0,2025/3/12,1633.61538,1344.61538,1741742462,6.0,2.0,pos1,Right,GXAスカイホークス,6,山本,Right,TOK,1,Top,1,0,1,Fastball,HitByPitch,Undefined,Undefined,Undefined,0,1,,,0.914,0.7,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",スタンリー,横井,岡林,Nothing,,,岡林,,,2507020017,死球①,,1631.0,https://youtu.be/Jyu6IJPUpVs&t=1631,338.0,https://youtu.be/aTQ94zDNQF8&t=338,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Akira, Yamamoto","Kai, Stanley","Shuntaro, Yokoi","Yuna, Okabayashi",,"Yuna, Okabayashi",,,,,,,,,,
18,18.0,18.0,2025/3/12,1705.879044,1416.879045,1741742534,7.0,1.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,126.0,0.554,-0.248,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",山本,スタンリー,横井,Nothing,,,,,,2507020018,見逃し,,1703.0,https://youtu.be/Jyu6IJPUpVs&t=1703,330.0,https://youtu.be/aTQ94zDNQF8&t=330,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa","Akira, Yamamoto","Kai, Stanley","Shuntaro, Yokoi",,,,,,,,,,,,
19,19.0,19.0,2025/3/12,1723.771552,1434.771553,1741742552,7.0,2.0,pos1,Right,GXAスカイホークス,7,石川,Right,TOK,1,Top,1,0,1,Fastball,InPlay,Undefined,FlyBall,Double,0,2,,124.0,0.678,-0.216,78.05133589,43.16226321,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"1,2,3",山本,スタンリー,横井,Undefined,,,"横井,スタンリー",9,9,2507020019,右2②,,1721.0,https://youtu.be/Jyu6IJPUpVs&t=1721,348.0,https://youtu.be/aTQ94zDNQF8&t=348,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Hikaru, Ishikawa","Akira, Yamamoto","Kai, Stanley","Shuntaro, Yokoi",,,,,,,,,,,,
20,20.0,20.0,2025/3/12,1781.341571,1492.341571,1741742610,8.0,1.0,pos1,Right,GXAスカイホークス,8,塗師,Right,TOK,1,Top,1,0,0,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,126.0,0.794,0.136,35.37486938,24.641662,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,山本,Undefined,,,,4,4,2507020020,二直,,1779.0,https://youtu.be/Jyu6IJPUpVs&t=1779,406.0,https://youtu.be/aTQ94zDNQF8&t=406,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Takuma, Nushi",,"Hikaru, Ishikawa","Akira, Yamamoto",,,,,,,,,,,,
21,21.0,21.0,2025/3/12,1811.195358,1522.195359,1741742639,9.0,1.0,pos1,Right,GXAスカイホークス,9,小田,Right,TOK,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,112.0,1.237,0.244,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,山本,Nothing,,,,,,2507020021,ボール,,1809.0,https://youtu.be/Jyu6IJPUpVs&t=1809,381.0,https://youtu.be/aTQ94zDNQF8&t=381,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Shu, Oda",,"Hikaru, Ishikawa","Akira, Yamamoto",,,,,,,,,,,,
22,22.0,22.0,2025/3/12,1825.606935,1536.606936,1741742654,9.0,2.0,pos1,Right,GXAスカイホークス,9,小田,Right,TOK,1,Top,2,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,127.0,1.026,0.032,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,山本,Nothing,,,,,,2507020022,空振り,,1823.0,https://youtu.be/Jyu6IJPUpVs&t=1823,396.0,https://youtu.be/aTQ94zDNQF8&t=396,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Shu, Oda",,"Hikaru, Ishikawa","Akira, Yamamoto",,,,,,,,,,,,
23,23.0,23.0,2025/3/12,1839.459691,1550.459691,1741742668,9.0,3.0,pos1,Right,GXAスカイホークス,9,小田,Right,TOK,1,Top,2,1,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,125.0,0.51,-0.276,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,山本,Nothing,,,,,,2507020023,空振り,,1837.0,https://youtu.be/Jyu6IJPUpVs&t=1837,409.0,https://youtu.be/aTQ94zDNQF8&t=409,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Shu, Oda",,"Hikaru, Ishikawa","Akira, Yamamoto",,,,,,,,,,,,
24,24.0,24.0,2025/3/12,1859.554991,1570.554992,1741742688,9.0,4.0,pos1,Right,GXAスカイホークス,9,小田,Right,TOK,1,Top,2,1,2,Curveball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.466,0.156,47.86130012,-70.55996517,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,"2,3",,石川,山本,Undefined,,,,,,2507020024,ファール,,1857.0,https://youtu.be/Jyu6IJPUpVs&t=1857,429.0,https://youtu.be/aTQ94zDNQF8&t=429,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Shu, Oda",,"Hikaru, Ishikawa","Akira, Yamamoto",,,,,,,,,,,,
