count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa
10,5.0,11.0,2025/2/18,2986.560804,2761.560805,1739854938,1.0,5.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,2,2,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,nan,,0.786,-0.156,63.86958633,64.85521437,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,nan,nan,2504810010,ファール,,2984.0,https://youtu.be/6fvRWZlnXt4&t=2984,837.0,https://youtu.be/Pf4AXbC6-x8&t=837,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
11,6.0,12.0,2025/2/18,3010.246167,2785.246168,1739854962,1.0,6.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,2,2,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.29,0.032,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810011,ボール,,3008.0,https://youtu.be/6fvRWZlnXt4&t=3008,853.0,https://youtu.be/Pf4AXbC6-x8&t=853,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
12,7.0,13.0,2025/2/18,3029.933058,2804.93306,1739854981,1.0,7.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,3,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,nan,,0.982,0.088,92.49046035,-8.621123175,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,8,8,2504810012,中飛,,3027.0,https://youtu.be/6fvRWZlnXt4&t=3027,872.0,https://youtu.be/Pf4AXbC6-x8&t=872,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
13,8.0,14.0,2025/2/18,3063.400167,2838.400168,1739855015,2.0,1.0,松本慎,Left,TOK,2,batter2,Left,福岡大,1,Bottom,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.71,0.244,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810013,見逃し,,3061.0,https://youtu.be/6fvRWZlnXt4&t=3061,894.0,https://youtu.be/Pf4AXbC6-x8&t=894,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
14,9.0,15.0,2025/2/18,3074.592008,2849.592009,1739855026,2.0,2.0,松本慎,Left,TOK,2,batter2,Left,福岡大,1,Bottom,1,0,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.718,0.224,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810014,見逃し,,3072.0,https://youtu.be/6fvRWZlnXt4&t=3072,905.0,https://youtu.be/Pf4AXbC6-x8&t=905,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
15,10.0,16.0,2025/2/18,3087.736315,2862.736316,1739855039,2.0,3.0,松本慎,Left,TOK,2,batter2,Left,福岡大,1,Bottom,1,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,1.197,0.292,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810015,ボール,,3085.0,https://youtu.be/6fvRWZlnXt4&t=3085,918.0,https://youtu.be/Pf4AXbC6-x8&t=918,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
16,11.0,17.0,2025/2/18,3102.841335,2877.841336,1739855054,2.0,4.0,松本慎,Left,TOK,2,batter2,Left,福岡大,1,Bottom,1,1,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,nan,,0.742,0.128,80.8259587,0.0,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,8,8,2504810016,中安,,3100.0,https://youtu.be/6fvRWZlnXt4&t=3100,933.0,https://youtu.be/Pf4AXbC6-x8&t=933,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
17,12.0,18.0,2025/2/18,3147.871776,2922.871777,1739855099,3.0,1.0,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.762,0.393,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter2,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810017,ボール,,3145.0,https://youtu.be/6fvRWZlnXt4&t=3145,970.0,https://youtu.be/Pf4AXbC6-x8&t=970,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
18,,,2025/2/18,3163.796172,2938.796173,1739855115,,,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,1,0,nan,nan,nan,nan,nan,0,0,nan,,,,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter2,nan,nan,PickOff,nan,nan,nan,"1,3","1,3",2504810018,牽制,,3161.0,https://youtu.be/6fvRWZlnXt4&t=3161,986.0,https://youtu.be/Pf4AXbC6-x8&t=986,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
19,,,2025/2/18,3177.881684,2952.881685,1739855129,,,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,1,0,nan,nan,nan,nan,nan,0,0,nan,,,,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter2,nan,nan,PickOff,nan,nan,nan,"1,3","1,3",2504810019,牽制,,3175.0,https://youtu.be/6fvRWZlnXt4&t=3175,1000.0,https://youtu.be/Pf4AXbC6-x8&t=1000,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
20,13.0,19.0,2025/2/18,3189.44307,2964.443071,1739855141,3.0,2.0,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.726,0.407,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter2,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810020,ボール,,3187.0,https://youtu.be/6fvRWZlnXt4&t=3187,1011.0,https://youtu.be/Pf4AXbC6-x8&t=1011,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
21,14.0,20.0,2025/2/18,3207.478366,2982.478367,1739855159,3.0,3.0,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,2,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,A2SR1,,0.702,0.38,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,1,batter2,nan,nan,StolenBase,batter2,nan,nan,nan,nan,2504810021,ボール[盗塁],,3205.0,https://youtu.be/6fvRWZlnXt4&t=3205,1029.0,https://youtu.be/Pf4AXbC6-x8&t=1029,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
22,15.0,21.0,2025/2/18,3242.379608,3017.379609,1739855194,3.0,4.0,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,121.0,0.694,-0.056,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,2,nan,batter2,nan,Nothing,nan,nan,nan,nan,nan,2504810022,見逃し,,3240.0,https://youtu.be/6fvRWZlnXt4&t=3240,1060.0,https://youtu.be/Pf4AXbC6-x8&t=1060,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
23,16.0,22.0,2025/2/18,3255.168159,3030.16816,1739855207,3.0,5.0,松本慎,Left,TOK,3,batter3,Left,福岡大,1,Bottom,1,3,1,Slider,BallCalled,Walk,Undefined,Undefined,0,0,nan,,1.203,0.08,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,2,nan,batter2,nan,Nothing,nan,nan,nan,nan,nan,2504810023,四球,,3253.0,https://youtu.be/6fvRWZlnXt4&t=3253,1073.0,https://youtu.be/Pf4AXbC6-x8&t=1073,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
24,17.0,23.0,2025/2/18,3311.644537,3086.644539,1739855263,4.0,1.0,松本慎,Left,TOK,4,batter4,Right,福岡大,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.397,0.44,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,"1,2",batter3,batter2,nan,Nothing,nan,nan,nan,nan,nan,2504810024,ボール,,3309.0,https://youtu.be/6fvRWZlnXt4&t=3309,1111.0,https://youtu.be/Pf4AXbC6-x8&t=1111,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
25,18.0,24.0,2025/2/18,3333.677187,3108.677188,1739855285,4.0,2.0,松本慎,Left,TOK,4,batter4,Right,福岡大,1,Bottom,1,1,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.678,0.313,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,"1,2",batter3,batter2,nan,Nothing,nan,nan,nan,nan,nan,2504810025,見逃し,,3331.0,https://youtu.be/6fvRWZlnXt4&t=3331,1133.0,https://youtu.be/Pf4AXbC6-x8&t=1133,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,L,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
