count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,run_person_romaji
10,10.0,10.0,2025/2/26,2003.6644649505613,1493.6644659042358,1740533479.731467,2.0,4.0,pos1,Right,芝浦工業大,2,安田,Left,TOK,1,Top,0,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,118.0,0.91,0.108,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,1,伊藤,,,Nothing,,,,,,2505620010,見逃し,,2001.0,https://youtu.be/AuszmHT4JtQ&t=2001,738.0,https://youtu.be/-Er63jcmUXQ&t=738,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Ken, Yasuda","Koichiro, Ito",,,,,,,,,,,,,,,
11,,,2025/2/26,2026.0550270080569,1516.055027961731,1740533502.122029,,,pos1,Right,芝浦工業大,2,安田,Left,TOK,1,Top,0,3,1,,,,,,0,0,,,,,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,1,伊藤,,,PickOff,,,,"1,3","1,3",2505620011,牽制,,2024.0,https://youtu.be/AuszmHT4JtQ&t=2024,760.0,https://youtu.be/-Er63jcmUXQ&t=760,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Ken, Yasuda","Koichiro, Ito",,,,,,,,,,,,,,,
12,11.0,11.0,2025/2/26,2036.6860098838808,1526.686010837555,1740533512.753012,2.0,5.0,pos1,Right,芝浦工業大,2,安田,Left,TOK,1,Top,0,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,1.177,0.216,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,1,伊藤,,,Nothing,,,,,,2505620012,四球,,2034.0,https://youtu.be/AuszmHT4JtQ&t=2034,771.0,https://youtu.be/-Er63jcmUXQ&t=771,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Ken, Yasuda","Koichiro, Ito",,,,,,,,,,,,,,,
13,12.0,12.0,2025/2/26,2096.979295015335,1586.979295015335,1740533573.046296,3.0,1.0,pos1,Right,芝浦工業大,3,岡林,Left,TOK,1,Top,0,0,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.962,0.048,40.36989284232582,63.99665415548856,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"1,2",安田,伊藤,,Undefined,,,,,,2505620013,ファール,,2094.0,https://youtu.be/AuszmHT4JtQ&t=2094,801.0,https://youtu.be/-Er63jcmUXQ&t=801,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda","Koichiro, Ito",,,,,,,,,,,,,,
14,13.0,13.0,2025/2/26,2123.642889976501,1613.6428909301758,1740533599.709892,3.0,2.0,pos1,Right,芝浦工業大,3,岡林,Left,TOK,1,Top,0,0,1,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,,,,37.49911169810195,65.85445803957835,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"1,2",安田,伊藤,,Undefined,,,,,,2505620014,ファール,,2121.0,https://youtu.be/AuszmHT4JtQ&t=2121,819.0,https://youtu.be/-Er63jcmUXQ&t=819,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda","Koichiro, Ito",,,,,,,,,,,,,,
15,14.0,14.0,2025/2/26,2153.720225095749,1643.7202258110046,1740533629.787227,3.0,3.0,pos1,Right,芝浦工業大,3,岡林,Left,TOK,1,Top,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.317,0.156,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"1,2",安田,伊藤,,Nothing,,,,,,2505620015,ボール,,2151.0,https://youtu.be/AuszmHT4JtQ&t=2151,838.0,https://youtu.be/-Er63jcmUXQ&t=838,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda","Koichiro, Ito",,,,,,,,,,,,,,
16,15.0,15.0,2025/2/26,2177.6324739456177,1667.632474899292,1740533653.699476,3.0,4.0,pos1,Right,芝浦工業大,3,岡林,Left,TOK,1,Top,0,1,2,Slider,InPlay,Undefined,GroundBall,Single,0,1,,,0.662,0.204,93.51032448,0.0,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"1,2",安田,伊藤,,Undefined,,,伊藤,"8,3","8,3",2505620016,中安①,,2175.0,https://youtu.be/AuszmHT4JtQ&t=2175,862.0,https://youtu.be/-Er63jcmUXQ&t=862,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda","Koichiro, Ito",,,"Koichiro, Ito",,,,,,,,,,,
17,16.0,16.0,2025/2/26,2239.389260053634,1729.3892607688904,1740533715.456262,4.0,1.0,pos1,Right,芝浦工業大,4,横井,Right,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.17,0.148,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"1,3",岡林,,安田,StolenBase,岡林,,,,,2505620017,ボール[盗塁],,2237.0,https://youtu.be/AuszmHT4JtQ&t=2237,915.0,https://youtu.be/-Er63jcmUXQ&t=915,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Shuntaro, Yokoi","Yuna, Okabayashi",,"Ken, Yasuda",,,,,,,,,,,,,"Yuna, Okabayashi"
18,17.0,17.0,2025/2/26,2264.026193857193,1754.026193857193,1740533740.093195,4.0,2.0,pos1,Right,芝浦工業大,4,横井,Right,TOK,1,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.15,-0.373,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"2,3",,岡林,安田,Nothing,,,,,,2505620018,ボール,,2262.0,https://youtu.be/AuszmHT4JtQ&t=2262,939.0,https://youtu.be/-Er63jcmUXQ&t=939,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Shuntaro, Yokoi",,"Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,
19,18.0,18.0,2025/2/26,2295.3013849258423,1785.3013858795166,1740533771.368387,4.0,3.0,pos1,Right,芝浦工業大,4,横井,Right,TOK,1,Top,0,2,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,102.0,1.183,0.16,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"2,3",,岡林,安田,Nothing,,,,,,2505620019,ボール,,2293.0,https://youtu.be/AuszmHT4JtQ&t=2293,971.0,https://youtu.be/-Er63jcmUXQ&t=971,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Shuntaro, Yokoi",,"Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,
20,19.0,19.0,2025/2/26,2314.6159629821777,1804.615963935852,1740533790.682965,4.0,4.0,pos1,Right,芝浦工業大,4,横井,Right,TOK,1,Top,0,3,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.586,-0.2,41.13854619175029,71.17528998175993,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"2,3",,岡林,安田,Undefined,,,,,,2505620020,ファール,,2312.0,https://youtu.be/AuszmHT4JtQ&t=2312,990.0,https://youtu.be/-Er63jcmUXQ&t=990,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Shuntaro, Yokoi",,"Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,
21,20.0,20.0,2025/2/26,2337.789538860321,1827.7895398139951,1740533813.856541,4.0,5.0,pos1,Right,芝浦工業大,4,横井,Right,TOK,1,Top,0,3,1,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,104.0,0.838,0.18,29.97259184868563,79.79602627826831,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"2,3",,岡林,安田,Undefined,,,,,,2505620021,ファール,,2335.0,https://youtu.be/AuszmHT4JtQ&t=2335,1005.0,https://youtu.be/-Er63jcmUXQ&t=1005,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Shuntaro, Yokoi",,"Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,
22,21.0,21.0,2025/2/26,2362.957983970642,1852.9579849243164,1740533839.024986,4.0,6.0,pos1,Right,芝浦工業大,4,横井,Right,TOK,1,Top,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,126.0,0.177,-0.224,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"2,3",,岡林,安田,Nothing,,,,,,2505620022,四球,,2360.0,https://youtu.be/AuszmHT4JtQ&t=2360,1021.0,https://youtu.be/-Er63jcmUXQ&t=1021,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Shuntaro, Yokoi",,"Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,
23,22.0,22.0,2025/2/26,2402.8593249320984,1892.8593249320984,1740533878.926327,5.0,1.0,pos1,Right,芝浦工業大,5,深見,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,121.0,0.59,-0.473,,,芝浦工業大,#ff0000,芝工大,TOK,#217fc4,東大,,B,春季オープン戦,Normal,"1,2,3",横井,岡林,安田,Nothing,,,,,,2505620023,ボール,,2400.0,https://youtu.be/AuszmHT4JtQ&t=2400,1048.0,https://youtu.be/-Er63jcmUXQ&t=1048,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","伊藤,安田,岡林,横井,深見,大田,小田,藤尾,荒井孝","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,深見,横井,荒井孝,大田,小田,岡林,伊藤,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,L,R,L,R,R,R,R","Yuto, Fukami","Shuntaro, Yokoi","Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,
