count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,scored_person_romaji,run_person_romaji
10,11.0,11.0,2025/8/19,1895.771779,395.7717834,1755566724,3.0,5.0,pos1,Right,立正大,3,スタンリー,Right,TOK,1,Top,1,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.566,-0.044,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,2,,長谷川,,Nothing,,,,,,2523020010,見逃し,,1893.0,https://youtu.be/NGnaMlDQ-sM&t=1893,283.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=283,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R","Kai, Stanley",,"Hasegawa, Yu",,,,,,,,,,,,,
11,12.0,12.0,2025/8/19,1938.665096,438.6650984,1755566767,3.0,6.0,pos1,Right,立正大,3,スタンリー,Right,TOK,1,Top,1,3,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.65,0.188,44.34600702,86.18592517,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,2,,長谷川,,Undefined,,,,,,2523020011,ファール,,1936.0,https://youtu.be/NGnaMlDQ-sM&t=1936,325.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=325,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R","Kai, Stanley",,"Hasegawa, Yu",,,,,,,,,,,,,
12,13.0,13.0,2025/8/19,1970.040186,470.040189,1755566798,3.0,7.0,pos1,Right,立正大,3,スタンリー,Right,TOK,1,Top,1,3,2,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,0.546,-0.244,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,2,,長谷川,,Nothing,,,,,,2523020012,見三振,,1968.0,https://youtu.be/NGnaMlDQ-sM&t=1968,357.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=357,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R","Kai, Stanley",,"Hasegawa, Yu",,,,,,,,,,,,,
13,14.0,14.0,2025/8/19,2004.980215,504.9802182,1755566833,4.0,1.0,pos1,Right,立正大,4,矢田貝,Right,TOK,1,Top,2,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,,0.778,-0.236,76.67403811,-32.5895369,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,2,,長谷川,,Undefined,,,,7,7,2523020013,左飛,,2002.0,https://youtu.be/NGnaMlDQ-sM&t=2002,374.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=374,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R","Gen, Yatagai",,"Hasegawa, Yu",,,,,,,,,,,,,
14,1.0,15.0,2025/8/19,2175.756618,675.7566216,1755567004,1.0,1.0,栗林,Right,TOK,1,batter1,Left,立正大,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,100.0,1.17,0.7,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020014,ボール,,2173.0,https://youtu.be/NGnaMlDQ-sM&t=2173,492.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=492,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
15,2.0,16.0,2025/8/19,2188.065875,688.0658803,1755567016,1.0,2.0,栗林,Right,TOK,1,batter1,Left,立正大,1,Bottom,0,1,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.55,0.112,48.99331163,-73.20162822,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523020015,ファール,,2186.0,https://youtu.be/NGnaMlDQ-sM&t=2186,505.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=505,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
16,3.0,17.0,2025/8/19,2201.799177,701.7991815,1755567030,1.0,3.0,栗林,Right,TOK,1,batter1,Left,立正大,1,Bottom,0,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.263,-0.26,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020016,空振り,,2199.0,https://youtu.be/NGnaMlDQ-sM&t=2199,518.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=518,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
17,4.0,18.0,2025/8/19,2215.556226,715.5562298,1755567044,1.0,4.0,栗林,Right,TOK,1,batter1,Left,立正大,1,Bottom,0,1,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,1.083,0.447,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020017,空三振,,2213.0,https://youtu.be/NGnaMlDQ-sM&t=2213,532.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=532,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
18,5.0,19.0,2025/8/19,2236.974164,736.9741688,1755567065,2.0,1.0,栗林,Right,TOK,2,batter2,Left,立正大,1,Bottom,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.317,-0.052,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020018,ボール,,2234.0,https://youtu.be/NGnaMlDQ-sM&t=2234,552.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=552,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
19,6.0,20.0,2025/8/19,2252.417733,752.4177396,1755567080,2.0,2.0,栗林,Right,TOK,2,batter2,Left,立正大,1,Bottom,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.462,-0.487,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020019,ボール,,2250.0,https://youtu.be/NGnaMlDQ-sM&t=2250,568.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=568,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
20,7.0,21.0,2025/8/19,2266.970559,766.9705625,1755567095,2.0,3.0,栗林,Right,TOK,2,batter2,Left,立正大,1,Bottom,1,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.466,0.196,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020020,見逃し,,2264.0,https://youtu.be/NGnaMlDQ-sM&t=2264,582.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=582,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
21,8.0,22.0,2025/8/19,2279.760852,779.7608552,1755567108,2.0,4.0,栗林,Right,TOK,2,batter2,Left,立正大,1,Bottom,1,2,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.257,-0.393,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020021,空振り,,2277.0,https://youtu.be/NGnaMlDQ-sM&t=2277,595.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=595,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
22,9.0,23.0,2025/8/19,2295.807794,795.8077967,1755567124,2.0,5.0,栗林,Right,TOK,2,batter2,Left,立正大,1,Bottom,1,2,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.257,0.507,,,立正大,#0000a0,立正大,TOK,#217fc4,東大,_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523020022,ボール,,2293.0,https://youtu.be/NGnaMlDQ-sM&t=2293,611.0,https://www.youtube.com/watch?v=G5kSI8kClPM&t=611,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大沼,長谷川,スタンリー,矢田貝,堀端,山本,田崎,内海,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,内海,スタンリー,塗師,大沼,田崎,山本,堀端,長谷川","R,L,L,L,R,L,L,L,R,L","R,R,L,R,R,R,R,R,R,R",,,,,"Kazuki, Kuribayashi","Uchiumi, Noboru","Kai, Stanley","Takuma, Nushi","Onuma, Atomu","Tasaki, Shu","Akira, Yamamoto","Taiki, Horibata","Hasegawa, Yu",,,
